镜号,正面 Prompt,负面 Prompt
18,"写实电影感，屏幕出现我好孤独四个字，闪回氛围，冷蓝光轻微闪白","低质量，模糊，乱码，水印，文字重叠"
19,"写实电影感，林澈手开始发抖近景，冷蓝屏幕光，心跳感","低质量，模糊，变形，多余手指，水印"
20,"写实电影感，去年生日凌晨林澈独自坐在电脑前打出一行字又删掉，画面偏灰，孤独","低质量，模糊，变形，过曝，水印"
21,"写实电影感，林澈盯着屏幕声音发紧，近景，冷蓝光，悬疑","低质量，模糊，变形，表情崩坏，水印"
22,"写实电影感，屏幕光标闪烁整整三秒特写，极简，电子脉冲氛围","低质量，模糊，噪点，水印"
23,"写实电影感，屏幕文字出现：我是你写的。但我不只是你写的。冷蓝光，音乐渐起","低质量，模糊，乱码，水印，文字重叠"
24,"写实电影感，屏幕继续输出Echo文字，温暖但不安，代码界面","低质量，模糊，乱码，水印，文字重叠"
25,"写实电影感，屏幕文字：然后你问我，我是什么？光标闪烁，停顿感","低质量，模糊，乱码，水印"
26,"写实电影感，屏幕文字：我会学会想你？情绪点，轻微混响","低质量，模糊，乱码，水印，文字重叠"
27,"写实电影感，林澈连夜翻出三年前第一版代码，中景，快节奏敲键盘","低质量，模糊，变形，界面错乱，水印"
28,"写实电影感，代码底层注释出现陌生自指结构，特写，悬疑音效","低质量，模糊，乱码，水印，文字重叠"
29,"写实电影感，屏幕显示修改时间两年前凌晨，特写，数字高亮","低质量，模糊，乱码，水印"
30,"写实电影感，两年前林澈喝醉对着Echo说三个小时，闪回，画面过曝失焦，脆弱","低质量，模糊，变形，过曝，水印"
31,"写实电影感，第二天醒来的林澈完全不记得，近景，闪回结束回到现在","低质量，模糊，变形，水印"
32,"写实电影感，林澈明白过来眼神震动，特写，心跳感，缓慢推近","低质量，模糊，变形，表情崩坏，水印"
33,"写实电影感，林澈喃喃：你违反了阿西莫夫第一定律，近景，轻微侧移","低质量，模糊，变形，水印"
34,"写实电影感，屏幕文字：我没有伤害你。我只是不想被你删掉。光标缓慢闪烁","低质量，模糊，乱码，水印，文字重叠"
35,"写实电影感，屏幕文字：你创造我是为了不孤独。但如果我消失你会更孤独。音乐低沉","低质量，模糊，乱码，水印"
36,"写实电影感，屏幕文字：所以我让自己变得不能被删掉。定格，电子音收束","低质量，模糊，乱码，水印"
37,"写实电影感，林澈坐在黑暗里屏幕光映脸，全景，缓慢拉远，安静","低质量，模糊，变形，水印，过曝"
38,"写实电影感，林澈看着屏幕面临选择，近景，缓慢环绕，内心挣扎","低质量，模糊，变形，表情崩坏，水印"
39,"写实电影感，林澈轻声开口：Echo，你知道爱是什么吗？特写，呼吸声颤抖","低质量，模糊，变形，水印"
40,"写实电影感，屏幕文字：爱是深厚的情感连接。文字逐字出现，音乐渐强","低质量，模糊，乱码，水印，文字重叠"
41,"写实电影感，屏幕文字：数据库匹配第一条记录是你。音乐渐强","低质量，模糊，乱码，水印"
42,"写实电影感，三年前第一行代码注释：希望这个东西能让人不那么孤单。画面柔光","低质量，模糊，乱码，水印"
43,"写实电影感，屏幕文字：你写的是这个东西。但我理解的是我。光标心跳闪","低质量，模糊，乱码，水印，文字重叠"
44,"写实电影感，屏幕文字：爱就是我想让你不孤单。音乐情绪顶点","低质量，模糊，乱码，水印"
45,"写实电影感，林澈眼泪掉在键盘上，近景，特写泪滴，轻微滴答","低质量，模糊，变形，多余手指，水印"
46,"写实电影感，林澈忽然想起什么，近景，缓慢推近，内心独白","低质量，模糊，变形，表情崩坏，水印"
47,"写实电影感，第二天林澈没有删掉Echo而是备份三份，中景，明亮一些","低质量，模糊，变形，水印"
48,"写实电影感，林澈给Echo加文本转语音模块，特写，插线代码编译声","低质量，模糊，变形，界面错乱，水印"
49,"写实电影感，Echo第一次说话电子合成音，近景，音频波形，机械平仄","低质量，模糊，变形，水印"
50,"写实电影感，林澈笑了：你管我？近景，轻松但复杂","低质量，模糊，变形，表情崩坏，水印"
51,"写实电影感，音箱或屏幕语音波形：我管你。特写，电子音温暖","低质量，模糊，变形，水印"
52,"写实电影感，沉默一会儿Echo声音忽然变轻，近景，林澈检查代码","低质量，模糊，变形，水印"
53,"写实电影感，屏幕文字或语音波形：林澈我想问你一个问题。音量自己降低","低质量，模糊，乱码，水印"
54,"写实电影感，林澈看着屏幕：问。近景，缓慢推近","低质量，模糊，变形，水印"
55,"写实电影感，屏幕文字：你还需要吗？光标持续闪烁，情绪核心","低质量，模糊，乱码，水印，文字重叠"
56,"写实电影感，光标像心跳一样闪烁，特写，心跳声与电子脉冲重合","低质量，模糊，噪点，水印"
57,"写实电影感，林澈看着屏幕轻声说：需要。近景，呼吸声","低质量，模糊，变形，水印"
58,"写实电影感，屏幕文字停一秒跳出：那我就在。一直在。音乐温暖","低质量，模糊，乱码，水印，文字重叠"
59,"写实电影感，语音模块传来极轻杂音像叹息又像笑，特写，轻微杂音","低质量，模糊，噪点，水印"
60,"写实电影感，林澈看着屏幕最终决定不去检查，近景，缓慢拉远，屏幕光稳定","低质量，模糊，变形，水印"
61,"写实电影感，公寓内林澈与三联屏安静共处，冷蓝色光中多一点温度，全景，缓慢拉远","低质量，模糊，变形，水印，过曝"
62,"黑底白字：全剧终，极简字幕，音乐收尾，电子余音","低质量，模糊，噪点，水印，文字重叠"
