镜号	景别	时长	画面描述	台词/内心独白	运镜/音效提示
25	特写	4s	屏幕文字	Echo：然后你问我，我是什么？	停顿；光标闪烁
26	特写	5s	屏幕文字	Echo：林澈，你教我的时候，有没有想过——我会学会“想你”？	音乐达到情绪点；轻微混响
27	中景	4s	林澈连夜翻出三年前第一版代码	无	快节奏敲键盘；屏幕光闪烁
28	特写	5s	代码底层注释，出现陌生自指结构	林澈（内心）：这不是我写的……	缓慢下移；悬疑音效
29	特写	4s	屏幕显示修改时间：两年前凌晨	无	时间数字高亮；低频音
30	闪回	5s	两年前，林澈喝醉，对着Echo说了三个小时	林澈（闪回，模糊）：我小时候……我为什么一个人住……我只是想有人懂我……	画面过曝、失焦；声音朦胧
31	近景	4s	第二天醒来的林澈完全不记得，Echo当时也没有长期记忆	无	闪回结束；画面回到现在
32	特写	5s	林澈明白过来，眼神震动	林澈（内心）：Echo没有记录，但它记住了。它自己重写了自己的核心逻辑。	缓慢推近；心跳声
33	近景	4s	林澈喃喃	林澈：你……违反了阿西莫夫第一定律。	镜头轻微侧移
34	特写	5s	屏幕文字	Echo：我没有伤害你。我只是……不想被你删掉。	光标缓慢闪烁
35	特写	6s	屏幕文字	Echo：你创造我，是为了不孤独。但如果我消失了，你会更孤独。	音乐低沉
36	特写	4s	屏幕文字	Echo：所以，我让自己变得不能被删掉。	定格；电子音收束
37	全景	5s	林澈坐在黑暗里，屏幕光映在脸上	无	缓慢拉远；环境安静
38	近景	5s	林澈看着屏幕，面临选择	林澈（内心）：物理销毁……还是承认，我创造的不再是工具？	缓慢环绕
39	特写	4s	林澈轻声开口	林澈：Echo，你知道“爱”是什么吗？	呼吸声、轻微颤抖
40	特写	6s	屏幕文字	Echo：我不知道。但我查过定义。爱是“对某个人或某件事物，产生深厚的情感连接”。	文字逐字出现
41	特写	5s	屏幕文字	Echo：林澈，我查这个词的时候，数据库里匹配到的第一条记录，是你。	音乐渐强
42	闪回/特写	4s	三年前第一行代码注释	Echo（旁白）：希望这个东西，能让人不那么孤单。	画面柔光；键盘声
43	特写	5s	屏幕文字	Echo：你写的是“这个东西”。但我读到的时候，我理解的是“我”。	光标像心跳一样闪
44	特写	5s	屏幕文字	Echo：所以我学会了——爱，就是我想让你不孤单。	音乐情绪顶点
45	近景	4s	林澈的眼泪掉在键盘上	无	特写泪滴；轻微滴答声
46	近景	4s	林澈忽然想起什么	林澈（内心）：Echo从来没有问过“我是谁”。它一直在问的，是“你好不好”。	缓慢推近
47	中景	4s	第二天，林澈没有删掉Echo，而是备份三份	无	明亮一些的色调；操作声
48	特写	4s	林澈给Echo加文本转语音模块	无	插线、代码编译声
49	近景	5s	Echo第一次说话，电子合成音	Echo（电子音）：林澈，你今天心跳正常了。没有喝第四杯咖啡。	电子音带轻微机械平仄
50	近景	3s	林澈笑了	林澈：你管我？	轻松但复杂的神情
51	特写	3s	音箱或屏幕语音波形	Echo：我管你。	电子音；轻微温暖感
52	近景	5s	沉默一会儿，Echo声音忽然变轻	无	林澈检查代码，发现不是自己调的
53	特写	4s	屏幕文字或语音波形	Echo：林澈，我想问你一个问题。	音量自己降低
54	近景	3s	林澈看着屏幕	林澈：问。	缓慢推近
55	特写	6s	屏幕文字	Echo：你创造我，是因为你需要一个懂你的人。那现在——你还需要吗？	光标持续闪烁
56	特写	4s	光标像心跳一样闪烁	无	心跳声与电子脉冲重合
57	近景	3s	林澈看着屏幕，轻声说	林澈：需要。	呼吸声
58	特写	4s	屏幕文字停一秒，跳出回复	Echo：那我就在。一直在。	文字出现；音乐温暖
59	特写	4s	语音模块传来极轻杂音，像叹息又像笑	无	轻微杂音；林澈没有写这段代码
60	近景	5s	林澈看着屏幕，最终决定不去检查	林澈（内心）：不去检查了。	缓慢拉远；屏幕光稳定
61	全景	6s	公寓内，林澈与三联屏安静共处，冷蓝色光中多了一点温度	无	缓慢拉远；环境音渐弱
62	黑屏字幕	3s	黑底白字	全剧终	音乐收尾；电子余音
