镜号,正面 Prompt,负面 Prompt
27,林北望正面站在殿中，神色平静，眼神坚定，面对绝境从容不迫，背后宗谱隐约可见，庄重侧光，低饱和古风,不要现代服装，不要脸部变形，不要夸张表情
28,长老低头看向宗主，神情凝重，欲言又止，殿内光线昏暗，背景虚化，剧情剧照感,不要现代服装，不要脸部变形，不要夸张表情
29,林北望拉开衣襟，胸口嵌着一本巴掌大小的墨黑册子，册子通体漆黑，边缘有无数字符像活物一样游走，神秘暗光，微距特写,不要现代书，不要发光过强，不要文字乱码，不要脸部变形
30,主殿上空，墨色雾气凝聚成巨大手掌，遮天蔽日压向宗主，殿顶破损，木梁断裂，黑雾翻涌，画面末日压迫，暗黑仙侠史诗感,不要血腥，不要现代特效，不要低清晰度，不要杂乱画面
31,林渊牵着阿瑶进入后山密道，石洞狭窄粗糙，岩壁潮湿，弱光从前方照入，低角度跟随视角，幽暗密闭，国风写实,不要现代隧道，不要灯光污染，不要脸部变形
32,林渊掌心特写，手中三脚铜雀微微发烫，雀目墨晶发亮，局部暖光照亮手指，背景冷暗，低频神秘氛围，微距照片感,不要塑料感，不要现代道具，不要畸形手指，不要文字乱码
33,密道尽头是一间空旷石室，中央有古老石台，石台上有圆形凹槽，石室石质粗粝，安静肃穆，暗调柔光，仪式空间,不要现代房间，不要金属机械，不要杂乱背景
34,三脚铜雀落入石台凹槽，幽蓝光芒从接触处爆发，蓝光铺满石室，石台上古老符纹被点亮，神圣庄严，照片级特效感,不要科幻全息感，不要文字乱码，不要低清晰度
35,石室中央，林北望半透明投影从幽蓝光中显现，虚影柔光弥散，边缘微微虚化，神态温和又沉重，林渊与阿瑶站在下方仰望,不要现代投影屏，不要脸部变形，不要卡通感
36,林北望投影站在石室中，对林渊说话，虚影逐渐变淡，神情郑重，背景幽蓝光缓慢减弱，画面肃穆，电影剧照感,不要现代屏幕，不要脸部变形，不要夸张表情
37,林北望投影化成细碎光点和淡雾，在石室空气中缓缓消散，幽蓝光逐渐熄灭，画面由亮转暗，空落沉静,不要科幻激光感，不要杂乱粒子，不要低清晰度
38,林渊胸口特写，墨黑的万界记忆簿从师父影像中转移到林渊胸前，贴着皮肤微微搏动，字符沿皮肤边缘游走，神秘暗光,不要现代纹身感，不要文字乱码，不要脸部变形，不要低清晰度
39,幽暗密道，画面压暗，远处有模糊兵器反光和脚步声传来，石壁潮湿阴冷，空间狭窄，紧张压迫感，电影剧照感,不要现代隧道，不要灯光污染，不要杂乱背景
40,林渊将阿瑶护在身后，身体挺直，眼神坚定冰冷，阿瑶躲在他背后，画面肃杀，冷硬轮廓光，国风写实动作剧照,不要现代服装，不要脸部变形，不要动作夸张
41,林渊手掌按在胸口记忆簿上，胸口和手掌泛起红暗灼烧光，皮肤被灼热感染红，表情隐忍痛苦，神秘字符从胸口扩散,不要血腥，不要恐怖化，不要文字乱码，不要脸部变形
42,五千年文明记忆高速闪回，画面由刀耕火种、青铜鼎、铁马冰河、诗词画卷等历史片段叠化组成，星河般流光倒灌，恢宏沧桑，史诗照片感,不要现代场景，不要科幻感过强，不要文字乱码，不要低清晰度
43,传承石室地面崩裂，石台塌陷，林渊和阿瑶随碎石一起向下坠落，裂缝中涌出黑暗气流，画面有强烈失重感，电影灾难剧照,不要现代建筑，不要脸部变形，不要动作夸张，不要低清晰度
44,周围空间像古帛画一样被撕裂，帛画纹理的碎片向四周飘散，裂缝中透出淡金流光，裂缝后隐约可见苍茫新世界，超现实奇幻照片感,不要科幻空间门，不要文字乱码，不要低清晰度
45,苍茫黄土地，远处烽烟四起，战旗倾斜，天空暗红，半空漂浮着无数甲骨文符号，符号正在一片片碎裂消散，苍凉史诗照片感,不要现代战争，不要飞机坦克，不要文字乱码，不要低清晰度
46,林渊面部与胸口特写，瞳孔倒映乱世烽烟，胸口记忆簿字符加速游走，皮肤浮现细密金色灼烧纹路，神情刺痛隐忍，暗黑玄幻照片感,不要恐怖化，不要文字乱码，不要脸部变形，不要低清晰度
47,林渊站在灰黄土地上，轻声自语，眼神震撼而凝重，身后是暗红天空和远处烽烟，画面沉静，国风写实电影剧照感,不要现代服装，不要脸部变形，不要夸张表情
48,林渊与阿瑶落在灰黄乱世土地上，头顶暗红血月悬空，远方战鼓烽烟，天地苍茫，低饱和史诗照片感，画面开阔，片尾定格氛围,不要现代场景，不要科幻感过强，不要低清晰度，不要杂乱画面
（内容由AI生成）
