| 镜号 | 景别 | 时长 | 画面描述（含角色外貌、服装、动作、环境） | 台词/内心独白 | 运镜/音效提示 |
| 10 | 近景 | 4s | 林渊咬牙合上师兄的眼，抱起阿瑶继续跑。 | 无 | 跟拍；脚步声、衣料摩擦声、低沉弦乐。 |
| 11 | 闪回中景 | 6s | 主殿内，宗主林北望站在宗谱前，指尖滴血完成古老封印。墨色雾气正在渗透门缝。长老焦急。 | 长老：宗主，他们来了！这次挡不住了！ 林北望：渊儿和阿瑶送出去了吗？ 长老：送出去了……可是至宝呢？ | 缓慢推近林北望胸口；封印嗡鸣、墨雾渗透声。 |
| 12 | 特写 | 5s | 林北望拉开衣襟——胸口嵌着一本巴掌大小、通体墨黑的册子“万界记忆簿”，边缘无数字符如活物游走。 | 林北望：至宝在我身上。只要我还在，他们找不到…… | 特写册子，字符流动；低沉搏动声、神秘音效。 |
| 13 | 全景 | 3s | 话音未落，殿顶被巨力掀飞，墨雾凝聚成巨掌当头拍下。 | 无 | 快速上仰，瓦砾飞散，巨掌压下，画面震黑；巨响、崩塌声。 |
| 14 | 中景 | 5s | 两人钻入密道。铜雀在林渊掌心发烫。密道幽暗，尽头是一间石室，中央石台凹槽与铜雀底部吻合。 | 无 | 跟随移动；密道回声、铜雀发热嗡鸣。 |
| 15 | 近景 | 5s | 铜雀落入凹槽的瞬间，幽蓝光芒亮起，投射出师父林北望模糊的影像。 | 无 | 围绕石台旋转；幽蓝光芒音效、粒子上升声。 |
| 16 | 投影中景 | 8s | 林北望模糊投影出现，石室中央，幽蓝光芒。林渊与阿瑶仰望。 | 投影·林北望：渊儿……守忆宗已经不在了……“火种”不能灭……带阿瑶去北境……至宝在你体内了……记住……每一次使用……都要付出代价…… | 固定镜头，投影逐渐消散；悲壮弦乐、投影消散声。 |
| 17 | 特写 | 4s | 投影消散。林渊低头——墨色册子已从师父体内转移到他胸口，贴着他的皮肤微微搏动，像一颗心脏。 | 无 | 特写胸口，墨色纹路；心跳搏动声、低频震动。 |
| 18 | 近景 | 3s | 密道外脚步声逼近。林渊将阿瑶推到身后。 | 林渊：闭眼，捂住耳朵。 | 紧张镜头，脚步声回荡；脚步声、呼吸声。 |
| 19 | 中景 | 6s | 他将手按在胸口的记忆簿上。灼热感席卷全身，无数画面飞掠——刀耕火种、青铜铸鼎、铁马冰河、诗词歌赋——五千年记忆如星河倒灌。 | 无 | 高速穿梭历史画面，粒子爆发；史诗音乐、记忆倒灌声。 |
| 20 | 全景 | 4s | 脚下石台塌陷，两人向下坠落。碎石飞散，幽蓝光与墨色交织。 | 无 | 俯冲镜头；塌陷声、坠落风声。 |
| 21 | 全景 | 6s | 坠落中，林渊看见周围空间像被撕裂的帛画，裂缝后是一片陌生景象——苍茫大地，烽烟四起，半空漂浮着无数甲骨文符号，正在一片片碎裂消散。 | 无 | 空间撕裂镜头；撕裂声、甲骨文碎裂声、战鼓号角。 |
| 22 | 特写 | 4s | 他瞳孔中映出那个世界，胸口记忆簿字符加速游走，在他皮肤上灼烧出细密纹路。 | 林渊：（轻声）这是……商周？ | 特写林渊震惊的脸；心跳加速、灼烧声。 |
| 23 | 远景 | 6s | 两人落在灰黄土地上。头顶暗红天空像凝固的血。远方战鼓轰鸣，号角呜咽。 | 无 | 从地面缓慢拉远，展现苍茫荒凉世界；战鼓、号角、风声。 |
